,PassengerId,Survived,Age,Pclass,Sex,Fare
147,148,0,9.0,3,0,34.375
148,149,0,36.5,2,1,26.0
149,150,0,42.0,2,1,13.0
150,151,0,51.0,2,1,12.525
151,152,1,22.0,1,0,66.6
152,153,0,55.5,3,1,8.05
153,154,0,40.5,3,1,14.5
154,155,0,,3,1,7.3125
155,156,0,51.0,1,1,61.3792
156,157,1,16.0,3,0,7.7333
157,158,0,30.0,3,1,8.05
158,159,0,,3,1,8.6625
159,160,0,,3,1,69.55
160,161,0,44.0,3,1,16.1
161,162,1,40.0,2,0,15.75
162,163,0,26.0,3,1,7.775
163,164,0,17.0,3,1,8.6625
164,165,0,1.0,3,1,39.6875
165,166,1,9.0,3,1,20.525
166,167,1,,1,0,55.0
167,168,0,45.0,3,0,27.9
168,169,0,,1,1,25.925
169,170,0,28.0,3,1,56.4958
170,171,0,61.0,1,1,33.5
171,172,0,4.0,3,1,29.125
172,173,1,1.0,3,0,11.1333
173,174,0,21.0,3,1,7.925
174,175,0,56.0,1,1,30.6958
175,176,0,18.0,3,1,7.8542
176,177,0,,3,1,25.4667
177,178,0,50.0,1,0,28.7125
178,179,0,30.0,2,1,13.0
179,180,0,36.0,3,1,0.0
180,181,0,,3,0,69.55
181,182,0,,2,1,15.05
182,183,0,9.0,3,1,31.3875
183,184,1,1.0,2,1,39.0
184,185,1,4.0,3,0,22.025
185,186,0,,1,1,50.0
186,187,1,,3,0,15.5
187,188,1,45.0,1,1,26.55
188,189,0,40.0,3,1,15.5
189,190,0,36.0,3,1,7.8958
190,191,1,32.0,2,0,13.0
191,192,0,19.0,2,1,13.0
192,193,1,19.0,3,0,7.8542
193,194,1,3.0,2,1,26.0
194,195,1,44.0,1,0,27.7208
195,196,1,58.0,1,0,146.5208
196,197,0,,3,1,7.75
197,198,0,42.0,3,1,8.4042
198,199,1,,3,0,7.75
199,200,0,24.0,2,0,13.0
200,201,0,28.0,3,1,9.5
201,202,0,,3,1,69.55
202,203,0,34.0,3,1,6.4958
203,204,0,45.5,3,1,7.225
204,205,1,18.0,3,1,8.05
205,206,0,2.0,3,0,10.4625
206,207,0,32.0,3,1,15.85
207,208,1,26.0,3,1,18.7875
208,209,1,16.0,3,0,7.75
209,210,1,40.0,1,1,31.0
210,211,0,24.0,3,1,7.05
211,212,1,35.0,2,0,21.0
212,213,0,22.0,3,1,7.25
213,214,0,30.0,2,1,13.0
214,215,0,,3,1,7.75
215,216,1,31.0,1,0,113.275
216,217,1,27.0,3,0,7.925
217,218,0,42.0,2,1,27.0
218,219,1,32.0,1,0,76.2917
219,220,0,30.0,2,1,10.5
220,221,1,16.0,3,1,8.05
221,222,0,27.0,2,1,13.0
222,223,0,51.0,3,1,8.05
223,224,0,,3,1,7.8958
224,225,1,38.0,1,1,90.0
225,226,0,22.0,3,1,9.35
226,227,1,19.0,2,1,10.5
227,228,0,20.5,3,1,7.25
228,229,0,18.0,2,1,13.0
229,230,0,,3,0,25.4667
230,231,1,35.0,1,0,83.475
231,232,0,29.0,3,1,7.775
232,233,0,59.0,2,1,13.5
233,234,1,5.0,3,0,31.3875
234,235,0,24.0,2,1,10.5
235,236,0,,3,0,7.55
236,237,0,44.0,2,1,26.0
237,238,1,8.0,2,0,26.25
238,239,0,19.0,2,1,10.5
239,240,0,33.0,2,1,12.275
240,241,0,,3,0,14.4542
241,242,1,,3,0,15.5
242,243,0,29.0,2,1,10.5
243,244,0,22.0,3,1,7.125
244,245,0,30.0,3,1,7.225
245,246,0,44.0,1,1,90.0
246,247,0,25.0,3,0,7.775
247,248,1,24.0,2,0,14.5
248,249,1,37.0,1,1,52.5542
249,250,0,54.0,2,1,26.0
250,251,0,,3,1,7.25
251,252,0,29.0,3,0,10.4625
252,253,0,62.0,1,1,26.55
253,254,0,30.0,3,1,16.1
254,255,0,41.0,3,0,20.2125
255,256,1,29.0,3,0,15.2458
256,257,1,,1,0,79.2
257,258,1,30.0,1,0,86.5
258,259,1,35.0,1,0,512.3292
259,260,1,50.0,2,0,26.0
260,261,0,,3,1,7.75
261,262,1,3.0,3,1,31.3875
262,263,0,52.0,1,1,79.65
263,264,0,40.0,1,1,0.0
264,265,0,,3,0,7.75
265,266,0,36.0,2,1,10.5
266,267,0,16.0,3,1,39.6875
267,268,1,25.0,3,1,7.775
268,269,1,58.0,1,0,153.4625
269,270,1,35.0,1,0,135.6333
270,271,0,,1,1,31.0
271,272,1,25.0,3,1,0.0
272,273,1,41.0,2,0,19.5
273,274,0,37.0,1,1,29.7
274,275,1,,3,0,7.75
275,276,1,63.0,1,0,77.9583
276,277,0,45.0,3,0,7.75
277,278,0,,2,1,0.0
278,279,0,7.0,3,1,29.125
279,280,1,35.0,3,0,20.25
280,281,0,65.0,3,1,7.75
281,282,0,28.0,3,1,7.8542
282,283,0,16.0,3,1,9.5
283,284,1,19.0,3,1,8.05
284,285,0,,1,1,26.0
285,286,0,33.0,3,1,8.6625
286,287,1,30.0,3,1,9.5
287,288,0,22.0,3,1,7.8958
288,289,1,42.0,2,1,13.0
289,290,1,22.0,3,0,7.75
290,291,1,26.0,1,0,78.85
291,292,1,19.0,1,0,91.0792
292,293,0,36.0,2,1,12.875
293,294,0,24.0,3,0,8.85
294,295,0,24.0,3,1,7.8958
295,296,0,,1,1,27.7208
296,297,0,23.5,3,1,7.2292
297,298,0,2.0,1,0,151.55
298,299,1,,1,1,30.5
299,300,1,50.0,1,0,247.5208
300,301,1,,3,0,7.75
301,302,1,,3,1,23.25
302,303,0,19.0,3,1,0.0
303,304,1,,2,0,12.35
304,305,0,,3,1,8.05
305,306,1,0.92,1,1,151.55
306,307,1,,1,0,110.8833
307,308,1,17.0,1,0,108.9
308,309,0,30.0,2,1,24.0
309,310,1,30.0,1,0,56.9292
310,311,1,24.0,1,0,83.1583
311,312,1,18.0,1,0,262.375
312,313,0,26.0,2,0,26.0
313,314,0,28.0,3,1,7.8958
314,315,0,43.0,2,1,26.25
315,316,1,26.0,3,0,7.8542
316,317,1,24.0,2,0,26.0
317,318,0,54.0,2,1,14.0
318,319,1,31.0,1,0,164.8667
319,320,1,40.0,1,0,134.5
320,321,0,22.0,3,1,7.25
321,322,0,27.0,3,1,7.8958
322,323,1,30.0,2,0,12.35
323,324,1,22.0,2,0,29.0
324,325,0,,3,1,69.55
325,326,1,36.0,1,0,135.6333
326,327,0,61.0,3,1,6.2375
327,328,1,36.0,2,0,13.0
328,329,1,31.0,3,0,20.525
329,330,1,16.0,1,0,57.9792
330,331,1,,3,0,23.25
331,332,0,45.5,1,1,28.5
332,333,0,38.0,1,1,153.4625
333,334,0,16.0,3,1,18.0
334,335,1,,1,0,133.65
335,336,0,,3,1,7.8958
336,337,0,29.0,1,1,66.6
337,338,1,41.0,1,0,134.5
338,339,1,45.0,3,1,8.05
339,340,0,45.0,1,1,35.5
340,341,1,2.0,2,1,26.0
341,342,1,24.0,1,0,263.0
342,343,0,28.0,2,1,13.0
343,344,0,25.0,2,1,13.0
344,345,0,36.0,2,1,13.0
345,346,1,24.0,2,0,13.0
346,347,1,40.0,2,0,13.0
347,348,1,,3,0,16.1
348,349,1,3.0,3,1,15.9
349,350,0,42.0,3,1,8.6625
350,351,0,23.0,3,1,9.225
351,352,0,,1,1,35.0
352,353,0,15.0,3,1,7.2292
353,354,0,25.0,3,1,17.8
354,355,0,,3,1,7.225
355,356,0,28.0,3,1,9.5
356,357,1,22.0,1,0,55.0
357,358,0,38.0,2,0,13.0
358,359,1,,3,0,7.8792
359,360,1,,3,0,7.8792
360,361,0,40.0,3,1,27.9
361,362,0,29.0,2,1,27.7208
362,363,0,45.0,3,0,14.4542
363,364,0,35.0,3,1,7.05
364,365,0,,3,1,15.5
365,366,0,30.0,3,1,7.25
366,367,1,60.0,1,0,75.25
367,368,1,,3,0,7.2292
368,369,1,,3,0,7.75
369,370,1,24.0,1,0,69.3
370,371,1,25.0,1,1,55.4417
371,372,0,18.0,3,1,6.4958
372,373,0,19.0,3,1,8.05
373,374,0,22.0,1,1,135.6333
374,375,0,3.0,3,0,21.075
375,376,1,,1,0,82.1708
376,377,1,22.0,3,0,7.25
377,378,0,27.0,1,1,211.5
378,379,0,20.0,3,1,4.0125
379,380,0,19.0,3,1,7.775
380,381,1,42.0,1,0,227.525
381,382,1,1.0,3,0,15.7417
382,383,0,32.0,3,1,7.925
383,384,1,35.0,1,0,52.0
384,385,0,,3,1,7.8958
385,386,0,18.0,2,1,73.5
386,387,0,1.0,3,1,46.9
387,388,1,36.0,2,0,13.0
388,389,0,,3,1,7.7292
389,390,1,17.0,2,0,12.0
390,391,1,36.0,1,1,120.0
391,392,1,21.0,3,1,7.7958
392,393,0,28.0,3,1,7.925
393,394,1,23.0,1,0,113.275
394,395,1,24.0,3,0,16.7
395,396,0,22.0,3,1,7.7958
396,397,0,31.0,3,0,7.8542
397,398,0,46.0,2,1,26.0
398,399,0,23.0,2,1,10.5
399,400,1,28.0,2,0,12.65
400,401,1,39.0,3,1,7.925
401,402,0,26.0,3,1,8.05
402,403,0,21.0,3,0,9.825
403,404,0,28.0,3,1,15.85
404,405,0,20.0,3,0,8.6625
405,406,0,34.0,2,1,21.0
406,407,0,51.0,3,1,7.75
407,408,1,3.0,2,1,18.75
408,409,0,21.0,3,1,7.775
409,410,0,,3,0,25.4667
410,411,0,,3,1,7.8958
411,412,0,,3,1,6.8583
412,413,1,33.0,1,0,90.0
413,414,0,,2,1,0.0
414,415,1,44.0,3,1,7.925
415,416,0,,3,0,8.05
416,417,1,34.0,2,0,32.5
417,418,1,18.0,2,0,13.0
418,419,0,30.0,2,1,13.0
419,420,0,10.0,3,0,24.15
420,421,0,,3,1,7.8958
421,422,0,21.0,3,1,7.7333
422,423,0,29.0,3,1,7.875
423,424,0,28.0,3,0,14.4
424,425,0,18.0,3,1,20.2125
425,426,0,,3,1,7.25
426,427,1,28.0,2,0,26.0
427,428,1,19.0,2,0,26.0
428,429,0,,3,1,7.75
429,430,1,32.0,3,1,8.05
430,431,1,28.0,1,1,26.55
431,432,1,,3,0,16.1
432,433,1,42.0,2,0,26.0
433,434,0,17.0,3,1,7.125
434,435,0,50.0,1,1,55.9
435,436,1,14.0,1,0,120.0
436,437,0,21.0,3,0,34.375
437,438,1,24.0,2,0,18.75
438,439,0,64.0,1,1,263.0
439,440,0,31.0,2,1,10.5
440,441,1,45.0,2,0,26.25
441,442,0,20.0,3,1,9.5
442,443,0,25.0,3,1,7.775
443,444,1,28.0,2,0,13.0
444,445,1,,3,1,8.1125
445,446,1,4.0,1,1,81.8583
446,447,1,13.0,2,0,19.5
447,448,1,34.0,1,1,26.55
448,449,1,5.0,3,0,19.2583
449,450,1,52.0,1,1,30.5
450,451,0,36.0,2,1,27.75
451,452,0,,3,1,19.9667
452,453,0,30.0,1,1,27.75
453,454,1,49.0,1,1,89.1042
454,455,0,,3,1,8.05
455,456,1,29.0,3,1,7.8958
456,457,0,65.0,1,1,26.55
457,458,1,,1,0,51.8625
458,459,1,50.0,2,0,10.5
459,460,0,,3,1,7.75
460,461,1,48.0,1,1,26.55
461,462,0,34.0,3,1,8.05
462,463,0,47.0,1,1,38.5
463,464,0,48.0,2,1,13.0
464,465,0,,3,1,8.05
465,466,0,38.0,3,1,7.05
466,467,0,,2,1,0.0
467,468,0,56.0,1,1,26.55
468,469,0,,3,1,7.725
469,470,1,0.75,3,0,19.2583
470,471,0,,3,1,7.25
471,472,0,38.0,3,1,8.6625
472,473,1,33.0,2,0,27.75
473,474,1,23.0,2,0,13.7917
474,475,0,22.0,3,0,9.8375
475,476,0,,1,1,52.0
476,477,0,34.0,2,1,21.0
477,478,0,29.0,3,1,7.0458
478,479,0,22.0,3,1,7.5208
479,480,1,2.0,3,0,12.2875
480,481,0,9.0,3,1,46.9
481,482,0,,2,1,0.0
482,483,0,50.0,3,1,8.05
483,484,1,63.0,3,0,9.5875
484,485,1,25.0,1,1,91.0792
485,486,0,,3,0,25.4667
486,487,1,35.0,1,0,90.0
487,488,0,58.0,1,1,29.7
488,489,0,30.0,3,1,8.05
489,490,1,9.0,3,1,15.9
490,491,0,,3,1,19.9667
491,492,0,21.0,3,1,7.25
492,493,0,55.0,1,1,30.5
493,494,0,71.0,1,1,49.5042
494,495,0,21.0,3,1,8.05
495,496,0,,3,1,14.4583
496,497,1,54.0,1,0,78.2667
497,498,0,,3,1,15.1
498,499,0,25.0,1,0,151.55
499,500,0,24.0,3,1,7.7958
500,501,0,17.0,3,1,8.6625
501,502,0,21.0,3,0,7.75
502,503,0,,3,0,7.6292
503,504,0,37.0,3,0,9.5875
504,505,1,16.0,1,0,86.5
505,506,0,18.0,1,1,108.9
506,507,1,33.0,2,0,26.0
507,508,1,,1,1,26.55
508,509,0,28.0,3,1,22.525
509,510,1,26.0,3,1,56.4958
510,511,1,29.0,3,1,7.75
511,512,0,,3,1,8.05
512,513,1,36.0,1,1,26.2875
513,514,1,54.0,1,0,59.4
514,515,0,24.0,3,1,7.4958
515,516,0,47.0,1,1,34.0208
516,517,1,34.0,2,0,10.5
517,518,0,,3,1,24.15
518,519,1,36.0,2,0,26.0
519,520,0,32.0,3,1,7.8958
520,521,1,30.0,1,0,93.5
521,522,0,22.0,3,1,7.8958
522,523,0,,3,1,7.225
523,524,1,44.0,1,0,57.9792
524,525,0,,3,1,7.2292
525,526,0,40.5,3,1,7.75
526,527,1,50.0,2,0,10.5
527,528,0,,1,1,221.7792
528,529,0,39.0,3,1,7.925
529,530,0,23.0,2,1,11.5
530,531,1,2.0,2,0,26.0
531,532,0,,3,1,7.2292
532,533,0,17.0,3,1,7.2292
533,534,1,,3,0,22.3583
534,535,0,30.0,3,0,8.6625
535,536,1,7.0,2,0,26.25
536,537,0,45.0,1,1,26.55
537,538,1,30.0,1,0,106.425
538,539,0,,3,1,14.5
539,540,1,22.0,1,0,49.5
540,541,1,36.0,1,0,71.0
541,542,0,9.0,3,0,31.275
542,543,0,11.0,3,0,31.275
543,544,1,32.0,2,1,26.0
544,545,0,50.0,1,1,106.425
545,546,0,64.0,1,1,26.0
546,547,1,19.0,2,0,26.0
547,548,1,,2,1,13.8625
548,549,0,33.0,3,1,20.525
549,550,1,8.0,2,1,36.75
550,551,1,17.0,1,1,110.8833
551,552,0,27.0,2,1,26.0
552,553,0,,3,1,7.8292
553,554,1,22.0,3,1,7.225
554,555,1,22.0,3,0,7.775
555,556,0,62.0,1,1,26.55
556,557,1,48.0,1,0,39.6
557,558,0,,1,1,227.525
558,559,1,39.0,1,0,79.65
559,560,1,36.0,3,0,17.4
560,561,0,,3,1,7.75
561,562,0,40.0,3,1,7.8958
562,563,0,28.0,2,1,13.5
563,564,0,,3,1,8.05
564,565,0,,3,0,8.05
565,566,0,24.0,3,1,24.15
566,567,0,19.0,3,1,7.8958
567,568,0,29.0,3,0,21.075
568,569,0,,3,1,7.2292
569,570,1,32.0,3,1,7.8542
570,571,1,62.0,2,1,10.5
571,572,1,53.0,1,0,51.4792
572,573,1,36.0,1,1,26.3875
573,574,1,,3,0,7.75
574,575,0,16.0,3,1,8.05
575,576,0,19.0,3,1,14.5
576,577,1,34.0,2,0,13.0
577,578,1,39.0,1,0,55.9
578,579,0,,3,0,14.4583
579,580,1,32.0,3,1,7.925
580,581,1,25.0,2,0,30.0
581,582,1,39.0,1,0,110.8833
582,583,0,54.0,2,1,26.0
583,584,0,36.0,1,1,40.125
584,585,0,,3,1,8.7125
585,586,1,18.0,1,0,79.65
586,587,0,47.0,2,1,15.0
587,588,1,60.0,1,1,79.2
588,589,0,22.0,3,1,8.05
589,590,0,,3,1,8.05
590,591,0,35.0,3,1,7.125
591,592,1,52.0,1,0,78.2667
592,593,0,47.0,3,1,7.25
593,594,0,,3,0,7.75
594,595,0,37.0,2,1,26.0
595,596,0,36.0,3,1,24.15
596,597,1,,2,0,33.0
597,598,0,49.0,3,1,0.0
598,599,0,,3,1,7.225
599,600,1,49.0,1,1,56.9292
600,601,1,24.0,2,0,27.0
601,602,0,,3,1,7.8958
602,603,0,,1,1,42.4
603,604,0,44.0,3,1,8.05
604,605,1,35.0,1,1,26.55
605,606,0,36.0,3,1,15.55
606,607,0,30.0,3,1,7.8958
607,608,1,27.0,1,1,30.5
608,609,1,22.0,2,0,41.5792
609,610,1,40.0,1,0,153.4625
610,611,0,39.0,3,0,31.275
611,612,0,,3,1,7.05
612,613,1,,3,0,15.5
613,614,0,,3,1,7.75
614,615,0,35.0,3,1,8.05
615,616,1,24.0,2,0,65.0
616,617,0,34.0,3,1,14.4
617,618,0,26.0,3,0,16.1
618,619,1,4.0,2,0,39.0
619,620,0,26.0,2,1,10.5
620,621,0,27.0,3,1,14.4542
621,622,1,42.0,1,1,52.5542
622,623,1,20.0,3,1,15.7417
623,624,0,21.0,3,1,7.8542
624,625,0,21.0,3,1,16.1
625,626,0,61.0,1,1,32.3208
626,627,0,57.0,2,1,12.35
627,628,1,21.0,1,0,77.9583
628,629,0,26.0,3,1,7.8958
629,630,0,,3,1,7.7333
630,631,1,80.0,1,1,30.0
631,632,0,51.0,3,1,7.0542
632,633,1,32.0,1,1,30.5
633,634,0,,1,1,0.0
634,635,0,9.0,3,0,27.9
635,636,1,28.0,2,0,13.0
636,637,0,32.0,3,1,7.925
637,638,0,31.0,2,1,26.25
638,639,0,41.0,3,0,39.6875
639,640,0,,3,1,16.1
640,641,0,20.0,3,1,7.8542
641,642,1,24.0,1,0,69.3
642,643,0,2.0,3,0,27.9
643,644,1,,3,1,56.4958
644,645,1,0.75,3,0,19.2583
645,646,1,48.0,1,1,76.7292
646,647,0,19.0,3,1,7.8958
647,648,1,56.0,1,1,35.5
648,649,0,,3,1,7.55
649,650,1,23.0,3,0,7.55
650,651,0,,3,1,7.8958
651,652,1,18.0,2,0,23.0
652,653,0,21.0,3,1,8.4333
653,654,1,,3,0,7.8292
654,655,0,18.0,3,0,6.75
655,656,0,24.0,2,1,73.5
656,657,0,,3,1,7.8958
657,658,0,32.0,3,0,15.5
658,659,0,23.0,2,1,13.0
659,660,0,58.0,1,1,113.275
660,661,1,50.0,1,1,133.65
661,662,0,40.0,3,1,7.225
662,663,0,47.0,1,1,25.5875
663,664,0,36.0,3,1,7.4958
664,665,1,20.0,3,1,7.925
665,666,0,32.0,2,1,73.5
666,667,0,25.0,2,1,13.0
667,668,0,,3,1,7.775
668,669,0,43.0,3,1,8.05
669,670,1,,1,0,52.0
670,671,1,40.0,2,0,39.0
671,672,0,31.0,1,1,52.0
672,673,0,70.0,2,1,10.5
673,674,1,31.0,2,1,13.0
674,675,0,,2,1,0.0
675,676,0,18.0,3,1,7.775
676,677,0,24.5,3,1,8.05
677,678,1,18.0,3,0,9.8417
678,679,0,43.0,3,0,46.9
679,680,1,36.0,1,1,512.3292
680,681,0,,3,0,8.1375
681,682,1,27.0,1,1,76.7292
682,683,0,20.0,3,1,9.225
683,684,0,14.0,3,1,46.9
684,685,0,60.0,2,1,39.0
685,686,0,25.0,2,1,41.5792
686,687,0,14.0,3,1,39.6875
687,688,0,19.0,3,1,10.1708
688,689,0,18.0,3,1,7.7958
689,690,1,15.0,1,0,211.3375
690,691,1,31.0,1,1,57.0
691,692,1,4.0,3,0,13.4167
692,693,1,,3,1,56.4958
693,694,0,25.0,3,1,7.225
694,695,0,60.0,1,1,26.55
695,696,0,52.0,2,1,13.5
696,697,0,44.0,3,1,8.05
697,698,1,,3,0,7.7333
698,699,0,49.0,1,1,110.8833
699,700,0,42.0,3,1,7.65
700,701,1,18.0,1,0,227.525
701,702,1,35.0,1,1,26.2875
702,703,0,18.0,3,0,14.4542
703,704,0,25.0,3,1,7.7417
704,705,0,26.0,3,1,7.8542
705,706,0,39.0,2,1,26.0
706,707,1,45.0,2,0,13.5
707,708,1,42.0,1,1,26.2875
708,709,1,22.0,1,0,151.55
709,710,1,,3,1,15.2458
710,711,1,24.0,1,0,49.5042
711,712,0,,1,1,26.55
712,713,1,48.0,1,1,52.0
713,714,0,29.0,3,1,9.4833
714,715,0,52.0,2,1,13.0
715,716,0,19.0,3,1,7.65
716,717,1,38.0,1,0,227.525
717,718,1,27.0,2,0,10.5
718,719,0,,3,1,15.5
719,720,0,33.0,3,1,7.775
720,721,1,6.0,2,0,33.0
721,722,0,17.0,3,1,7.0542
722,723,0,34.0,2,1,13.0
723,724,0,50.0,2,1,13.0
724,725,1,27.0,1,1,53.1
725,726,0,20.0,3,1,8.6625
726,727,1,30.0,2,0,21.0
727,728,1,,3,0,7.7375
728,729,0,25.0,2,1,26.0
729,730,0,25.0,3,0,7.925
730,731,1,29.0,1,0,211.3375
731,732,0,11.0,3,1,18.7875
732,733,0,,2,1,0.0
733,734,0,23.0,2,1,13.0
734,735,0,23.0,2,1,13.0
735,736,0,28.5,3,1,16.1
736,737,0,48.0,3,0,34.375
737,738,1,35.0,1,1,512.3292
738,739,0,,3,1,7.8958
739,740,0,,3,1,7.8958
740,741,1,,1,1,30.0
741,742,0,36.0,1,1,78.85
742,743,1,21.0,1,0,262.375
743,744,0,24.0,3,1,16.1
744,745,1,31.0,3,1,7.925
745,746,0,70.0,1,1,71.0
746,747,0,16.0,3,1,20.25
747,748,1,30.0,2,0,13.0
748,749,0,19.0,1,1,53.1
749,750,0,31.0,3,1,7.75
750,751,1,4.0,2,0,23.0
751,752,1,6.0,3,1,12.475
752,753,0,33.0,3,1,9.5
753,754,0,23.0,3,1,7.8958
754,755,1,48.0,2,0,65.0
755,756,1,0.67,2,1,14.5
756,757,0,28.0,3,1,7.7958
757,758,0,18.0,2,1,11.5
758,759,0,34.0,3,1,8.05
759,760,1,33.0,1,0,86.5
760,761,0,,3,1,14.5
761,762,0,41.0,3,1,7.125
762,763,1,20.0,3,1,7.2292
763,764,1,36.0,1,0,120.0
764,765,0,16.0,3,1,7.775
765,766,1,51.0,1,0,77.9583
766,767,0,,1,1,39.6
767,768,0,30.5,3,0,7.75
768,769,0,,3,1,24.15
769,770,0,32.0,3,1,8.3625
770,771,0,24.0,3,1,9.5
771,772,0,48.0,3,1,7.8542
772,773,0,57.0,2,0,10.5
773,774,0,,3,1,7.225
774,775,1,54.0,2,0,23.0
775,776,0,18.0,3,1,7.75
776,777,0,,3,1,7.75
777,778,1,5.0,3,0,12.475
778,779,0,,3,1,7.7375
779,780,1,43.0,1,0,211.3375
780,781,1,13.0,3,0,7.2292
781,782,1,17.0,1,0,57.0
782,783,0,29.0,1,1,30.0
783,784,0,,3,1,23.45
784,785,0,25.0,3,1,7.05
785,786,0,25.0,3,1,7.25
786,787,1,18.0,3,0,7.4958
